STT,Năm,Tháng,Ngành Hàng,Thương Hiệu,Tên Chiến Dịch,Loại Chiến Dịch (Campaign Type)
255,2025,Mar,"Energy drink","RED BULL","Số 1 Thế Giới","Thematic & Brand Building"
256,2025,Mar,"Alcoholic drink","HEINEKEN","Heineken UCL","Thematic & Brand Building"
257,2025,Mar,"Energy drink","STING","Cú Hích Việt Quất","Thematic & Brand Building"
258,2025,Mar,"Personal Care","POND'S","Pond's 8/3 - Chạm Má Yêu Thương","Thematic & Brand Building"
259,2025,Mar,"Personal Care","GARNIER","Nhuộm tóc tại nhà","Thematic & Brand Building"
260,2025,Mar,"Handhelds","HONOR","Honor X9c Smart","Thematic & Brand Building"
261,2025,Mar,"Banking","ACB","Tròn Vai hay Chọn Vai","Thematic & Brand Building"
262,2025,Mar,"Handhelds","OPPO","Oppo Find N5","Thematic & Brand Building"
263,2025,Mar,"Other milk based product","MALTO","SHAKE IT OFF","Thematic & Brand Building"
264,2025,Mar,"Handhelds","SAMSUNG","Galaxy Campus Friends S2","Thematic & Brand Building"
265,2025,Mar,"Medicine & Pharmaceutical","LONG CHÂU","Biết Tuốt về HPV","CSR & Sustainability"
266,2025,Mar,"Non-alcoholic drink","BONCHA","Boncha x Quang Hùng MasterD","Thematic & Brand Building"
267,2025,Mar,"Mom & Baby milk","VINAMILK","Optimum Gold/Optimum Colos Rebranding","Product Launch & Rebranding"
268,2025,Feb,"Personal Care","CLOSEUP","Closeup Valentine","Thematic & Brand Building"
269,2025,Feb,"Handhelds","SAMSUNG","Galaxy S25 Series","Product Launch & Rebranding"
270,2025,Feb,"Home Appliances","PANASONIC","Thủ Lĩnh Sống Xanh","CSR & Sustainability"
271,2025,Feb,"Home cooking & Seasonings","SIMPLY","Đầu tư cho trái tim (MV)","Thematic & Brand Building"
272,2025,Feb,"Mom & Baby milk","NAN & S-26 ULTIMA","CHỌN NAN SỮA MÁT THUỴ SĨ - KHỞI ĐẦU HOÀN MỸ CHO CẢ NĂM NHƯ Ý","Thematic & Brand Building"
273,2025,Feb,"Banking","MSB","Tết Có Lời Cùng MSB","Thematic & Brand Building"
274,2025,Feb,"Games","GARENA LIÊN QUÂN","Đấu Trường Danh Vọng","Thematic & Brand Building"
275,2025,Feb,"Real Estate","BATDONGSAN.COM.VN","Xin vía có nhà","Thematic & Brand Building"
276,2025,Feb,"Handhelds","VIVO","Ra mắt vivo Y29","Product Launch & Rebranding"
277,2025,Feb,"Alcoholic drink","HEINEKEN","Heineken Festive 2025","Thematic & Brand Building"
278,2025,Feb,"Personal Care","VICHY","Chấn Động Dercos","Thematic & Brand Building"
279,2025,Feb,"Liquid Milk","MILO","Bền bỉ hơn từng ngày","Thematic & Brand Building"
280,2025,Feb,"Medicine & Pharmaceutical","GSK","Giữ sức khỏe em ơi (MV)","CSR & Sustainability"
281,2025,Feb,"Home cooking & Seasonings","KNORR","Ở đâu có vị nhà, Tết nhà là ở đó","Thematic & Brand Building"
282,2025,Feb,"Home cooking & Seasonings","CHIN-SU","Vạn món ngon bùng vị","Thematic & Brand Building"
283,2025,Feb,"Alcoholic drink","TIGER","Sát Cánh Gầm Vang, Khai Xuân Bản Lĩnh","Thematic & Brand Building"
284,2025,Feb,"Mom & Baby milk","VINAMILK","Sống vui trọn tết vàng","Thematic & Brand Building"
285,2025,Jan,"Personal Care","LIFEBUOY","Tết Vỗ Về","Thematic & Brand Building"
286,2025,Jan,"Alcoholic drink","TIGER","Sát Cánh Gầm Vang, Khai Xuân Bản Lĩnh","Thematic & Brand Building"
287,2025,Jan,"Retailers/E-commerce","TIKTOK SHOP","Tết Campaign","Thematic & Brand Building"
288,2025,Jan,"Home Care","OMO","OMO - Kiên trì là dì thành công","Thematic & Brand Building"
289,2025,Jan,"Handhelds","SAMSUNG","Galaxy S25 Series","Product Launch & Rebranding"
290,2025,Jan,"Handhelds","OPPO","Chiến dịch ra mắt sản phẩm OPPO Reno 13 Series","Product Launch & Rebranding"
291,2025,Jan,"Games","GARENA LIÊN QUÂN","MÙNG 1 TẾT LIÊN QUÂN, TRẬN MỚI LỘC TỚI","Product Launch & Rebranding"
292,2025,Jan,"Alcoholic drink","LARUE","Tết bàn tới, năm tấn tới","Thematic & Brand Building"
293,2025,Jan,"Alcoholic drink","BUDWEISER","Vận Đỏ Chắc Tay, Năm Đỏ Bất Tận","Thematic & Brand Building"
294,2025,Jan,"Handhelds","OPPO","OPPO FindX 8","Thematic & Brand Building"
295,2025,Jan,"Alcoholic drink","TUBORG","Vui lễ mới, Chơi phải tới","Product Launch & Rebranding"
296,2025,Jan,"Non-alcoholic drink","COCA-COLA","Trao Tâm Ý, Gắn Kết Tết Diệu Kỳ","Thematic & Brand Building"
297,2025,Jan,"Alcoholic drink","HEINEKEN","Heineken Festive 2025","Thematic & Brand Building"
298,2025,Jan,"Digital Wallet","ZALOPAY","Tết Nguyên Nhà 2025","Thematic & Brand Building"
299,2025,Jan,"Energy drink","WARRIOR","Tết chiến tới tấp","Thematic & Brand Building"
300,2025,Jan,"Personal Care","P/S","Nụ cười khỏe, trọn Tết vui","Thematic & Brand Building"
301,2025,Jan,"Food","DANISA","Biết Ơn Điều Tuyệt Vời Chưa Nói (Tết, MV)","Thematic & Brand Building"
302,2025,Jan,"Alcoholic drink","HEINEKEN","Ken 0 độ - Cầm lái 0 lo","Thematic & Brand Building"
303,2025,Dec,"F&B","JOLLIBEE","Vui Rộn Ràng Combo Cùng Lễ Hội","Sponsor & Event"
304,2025,Dec,"Energy drink","RED BULL","Năm Mới Bản Lĩnh Húc Tới Đi","Product Launch & Rebranding"
305,2025,Dec,"Alcoholic drink","TIGER","Khai Xuân Bản Lĩnh","Thematic & Brand Building"
306,2025,Dec,"Alcoholic drink","HEINEKEN","Mở Kết Nối Thật, Tết Bật Heineken","Thematic & Brand Building"
307,2025,Dec,"Mom & Baby milk","VINAMILK","Launching Siêu sữa Optimum A2 Pro+","Product Launch & Rebranding"
308,2025,Dec,"Mom & Baby milk","VINAMILK","Nhà Nào Cũng Có Mẹ","Thematic & Brand Building"
309,2025,Dec,"Home Care","COMFORT","Thơm Xinh Cứ Bling","Thematic & Brand Building"
310,2025,Dec,"Alcoholic drink","TUBORG","Tuborg x Billionaire Boys Club","Thematic & Brand Building"
311,2025,Dec,"Alcoholic drink","BIA HÀ NỘI","Hà Nội Premium House","Thematic & Brand Building"
312,2025,Dec,"Energy drink","STING","Dám Nghĩ dám làm","Thematic & Brand Building"
313,2025,Dec,"Energy drink","RED BULL","Red Bull Extra","Thematic & Brand Building"
314,2025,Dec,"Banking","VIB","Smart Duo - Bộ Đôi Sinh Lời","Thematic & Brand Building"
315,2025,Dec,"Alcoholic drink","LARUE","Đón Điều Mới, Mở Tết Tấn Tới","Product Launch & Rebranding"
316,2025,Dec,"Alcoholic drink","BIA SAIGON","Một Lời Mời, Tỏa Tết Lớn","Thematic & Brand Building"
317,2025,Dec,"Mom & Baby milk","VINAMILK","Susu kid content creators","Thematic & Brand Building"
318,2025,Dec,"Liquid Milk","MILO","Milo x SeaGames 23","Thematic & Brand Building"
